make_true,type_true,class_true,make_pred,type_pred,class_pred
2,4,4,2,4,4
2,4,7,2,4,7
0,1,1,0,1,1
2,4,0,2,4,0
2,4,4,2,4,4
1,4,0,1,4,0
2,4,4,2,4,4
2,4,9,2,4,9
0,0,3,0,0,3
1,4,1,1,4,1
0,1,5,0,1,5
2,4,4,2,4,4
2,4,4,2,4,4
2,4,4,2,4,4
2,4,4,2,4,4
0,1,2,0,1,2
0,1,3,0,1,3
2,4,0,2,4,0
0,1,5,0,1,5
2,4,9,2,4,9
0,0,0,0,0,0
2,4,9,2,4,9
2,4,4,2,4,4
0,1,5,0,1,5
2,4,5,2,4,5
0,1,8,0,1,8
2,4,8,2,4,8
0,0,2,0,0,2
0,1,8,0,1,8
0,2,0,0,2,0
0,3,0,0,3,0
0,1,8,0,1,8
2,4,0,2,4,0
2,4,4,2,4,4
0,1,1,0,1,1
0,0,2,0,0,2
0,1,6,0,1,6
2,4,7,2,4,7
2,4,6,2,4,6
2,4,4,2,4,4
2,4,7,2,4,7
0,1,6,0,1,6
2,4,7,2,4,7
0,1,5,0,1,5
0,0,2,0,0,2
0,3,0,0,3,0
2,4,5,2,4,5
2,4,4,2,4,4
0,1,1,0,1,1
2,4,9,2,4,9
0,0,2,0,0,2
0,1,6,0,1,6
0,1,3,0,1,3
2,4,0,2,4,0
0,0,3,0,0,3
2,4,7,2,4,7
1,4,1,1,4,1
0,1,6,0,1,6
2,4,4,2,4,4
2,4,0,2,4,0
1,4,0,1,4,0
2,4,0,2,4,0
2,4,8,2,4,8
2,4,7,2,4,7
2,4,4,2,4,4
0,3,0,0,3,0
2,4,0,2,4,0
1,4,0,1,4,0
0,1,1,0,1,1
0,1,8,0,1,8
0,3,0,0,3,0
0,0,2,0,0,2
2,4,4,2,4,4
1,4,1,1,4,1
2,4,4,2,4,4
1,4,1,1,4,1
2,4,8,2,4,8
0,0,3,0,0,3
2,4,0,2,4,0
0,1,5,0,1,5
0,1,8,0,1,8
2,4,0,2,4,0
0,1,6,0,1,6
1,4,0,1,4,0
2,4,4,2,4,4
0,3,0,0,3,0
0,1,8,0,1,8
1,4,1,1,4,1
0,1,6,0,1,6
0,1,6,0,1,6
2,4,4,2,4,4
2,4,7,2,4,7
0,1,2,0,1,2
1,4,0,1,4,0
0,1,6,0,1,6
0,1,6,0,1,6
0,2,0,0,2,0
2,4,4,2,4,4
2,4,9,2,4,9
0,0,2,0,0,2
2,4,5,2,4,5
0,1,6,0,1,6
2,4,4,2,4,4
0,1,6,0,1,6
2,4,4,2,4,4
0,1,6,0,1,6
0,1,6,0,1,6
0,3,0,0,3,0
2,4,0,2,4,0
0,1,3,0,1,3
2,4,4,2,4,4
2,4,7,2,4,7
2,4,0,2,4,0
0,0,3,0,0,3
2,4,4,2,4,4
2,4,4,2,4,4
0,1,8,0,1,8
0,1,6,0,1,6
2,4,7,2,4,7
0,1,3,0,1,3
2,4,4,2,4,4
2,4,7,2,4,7
0,1,3,0,1,3
2,4,0,2,4,0
2,4,9,2,4,9
