index,label,modulation_label,protocol_label,model_label,full_path
0,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
1,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
2,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
3,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
4,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
5,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
6,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
7,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
8,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
9,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
10,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
11,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
12,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
13,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
14,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
15,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
16,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
17,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
18,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
19,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
20,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
21,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
22,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
23,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
24,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
25,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
26,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
27,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
28,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
29,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
30,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
31,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
32,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
33,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
34,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
35,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
36,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
37,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
38,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
39,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
40,Autel EVO II,0,2,0,Pro-OFDM -> SkyLink -> Autel EVO II
